ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
2878,Rio Madeira Grouped REDD+ Project,Future Carbon International LLC,Agriculture Forestry and Other Land Use,REDD,VM0015,Registered,Brazil,"917,817",Latin America,2024-04-30,2019-10-23,2049-10-22
2861,Laifeng County Jiulongpan domestic waste landfill pollution control and comprehensive utilization project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registered,China,"40,612",Asia,2023-01-30,2021-10-21,2031-10-20
2863,Xinmi urban domestic waste gas harmless treatment and comprehensive utilization project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,"66,720",Asia,2022-08-01,2021-08-27,2031-08-26
2859,Jingbian County MSW landfill site LFG pollution treatment and  comprehensive utilization project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registered,China,"34,922",Asia,2023-03-10,2021-12-17,2031-12-16
2860,Dak Lak Wastewater Treatment with Biogas System and Methane Recovery,Multiple Proponents,Waste handling and disposal,,AMS-III.H.,Registered,Viet Nam,"33,233",Asia,2023-11-07,2023-02-01,2030-01-31
2852,Xinjiang Burqin Improved Grassland Management Project,Burqin Jinhua Urban Construction and Investment Co.Ltd.,Agriculture Forestry and Other Land Use,ALM,VM0026,Registered,China,"271,847",Asia,2023-06-02,2017-06-26,2057-06-25
2844,Tanghe AMMS GHG Mitigation Project,"Muyuan Foods Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,"310,169",Asia,2022-12-27,2020-10-20,2030-10-19
2846,FSW AMMS GHG Mitigation Project in Nanyang City,"Muyuan Foods Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,"364,750",Asia,2022-09-29,2020-08-05,2030-08-04
2848,Taikefeng Composting Project in Gaomi City,"Gaomi Nanyang Taikefeng Environmental Protection Techonology Co., Ltd.",Waste handling and disposal,,AMS-III.D.; AMS-III.F.,Registered,China,"49,251",Asia,2023-03-03,2020-07-06,2030-07-05
2840,Nanzhao County MSW Landfill Site LFG Pollution Treatment and Comprehensive Utilization Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,"81,259",Asia,2023-01-31,2021-06-19,2031-06-18
2836,MicroEnergy Credits – Microfinance for Clean Energy Product Lines – Africa – Solar Lamps & Efficient cook stoves – 10341 –CPA - 0002,MicroEnergy Credits Corp,Energy demand; Energy industries (renewable/non-renewable sources),,AMS-II.G.; AMS-III.AR,Registered,Kenya,"52,022",Africa,2023-02-23,2018-10-01,2025-09-30
2837,MicroEnergy Credits – Microfinance for Clean Energy Product Lines – Africa – Solar Lamps & Efficient cook stoves – 10341 –CPA - 0003,MicroEnergy Credits Corp,Energy demand; Energy industries (renewable/non-renewable sources),,AMS-II.G.; AMS-III.AR,Registered,Kenya,"90,914",Africa,2023-02-27,2019-11-11,2026-11-10
